iter	Passed	Remaining
0	115	115312
1	121	60522
2	129	42981
3	142	35401
4	147	29311
5	152	25346
6	157	22348
7	161	20036
8	167	18440
9	172	17052
10	176	15836
11	183	15144
12	189	14361
13	194	13684
14	203	13340
15	206	12706
16	209	12124
17	213	11657
18	215	11138
19	217	10663
20	219	10222
21	220	9815
22	222	9447
23	223	9104
24	226	8850
25	228	8552
26	229	8273
27	230	8013
28	232	7772
29	233	7547
30	234	7339
31	236	7143
32	237	6961
33	240	6831
34	241	6668
35	243	6515
36	244	6366
37	245	6226
38	247	6094
39	248	5966
40	249	5846
41	251	5735
42	254	5658
43	255	5558
44	257	5457
45	258	5360
46	259	5267
47	261	5179
48	262	5095
49	263	5013
50	265	4934
51	267	4884
52	269	4812
53	270	4741
54	272	4673
55	273	4608
56	274	4544
57	276	4485
58	277	4425
59	278	4368
60	280	4313
61	283	4284
62	284	4231
63	285	4179
64	287	4128
65	288	4080
66	289	4035
67	291	3989
68	292	3945
69	293	3902
70	295	3867
71	297	3837
72	299	3799
73	300	3760
74	301	3722
75	303	3685
76	304	3649
77	305	3614
78	307	3579
79	308	3546
80	310	3523
81	312	3495
82	313	3458
83	314	3428
84	315	3399
85	317	3369
86	318	3340
87	319	3312
88	320	3284
89	322	3257
90	324	3239
91	326	3219
92	327	3194
93	328	3169
94	330	3145
95	331	3122
96	333	3100
97	334	3077
98	335	3055
99	337	3033
100	340	3027
101	341	3007
102	342	2986
103	344	2965
104	345	2945
105	346	2925
106	348	2905
107	349	2890
108	351	2873
109	355	2873
110	357	2860
111	358	2844
112	360	2829
113	362	2813
114	363	2799
115	366	2789
116	369	2786
117	371	2775
118	372	2760
119	374	2745
120	375	2730
121	377	2713
122	378	2699
123	380	2688
124	383	2684
125	385	2671
126	386	2657
127	388	2645
128	389	2631
129	391	2618
130	392	2604
131	394	2591
132	396	2581
133	398	2573
134	399	2562
135	401	2549
136	402	2537
137	404	2525
138	405	2513
139	407	2502
140	408	2491
141	409	2476
142	412	2469
143	413	2459
144	415	2448
145	416	2437
146	418	2426
147	422	2433
148	424	2426
149	427	2423
150	430	2418
151	431	2408
152	433	2398
153	435	2389
154	436	2380
155	438	2369
156	439	2359
157	441	2351
158	444	2349
159	445	2339
160	446	2329
161	448	2319
162	449	2309
163	451	2299
164	452	2289
165	453	2279
166	455	2273
167	458	2269
168	460	2262
169	461	2253
170	463	2244
171	464	2235
172	465	2226
173	466	2216
174	468	2207
175	471	2206
176	473	2200
177	474	2193
178	476	2184
179	477	2176
180	479	2168
181	480	2160
182	481	2151
183	483	2143
184	486	2141
185	487	2134
186	489	2128
187	491	2120
188	492	2112
189	496	2116
190	498	2111
191	502	2115
192	504	2109
193	507	2107
194	512	2113
